Date,Open*,High,Low,Close**,Volume,Market Cap
2018-04-30,0.312014,0.316572,0.228033,0.272682,"94,849","10,508,795"
2018-04-29,0.337289,0.353794,0.287547,0.312201,"31,596","12,031,804"
2018-04-28,0.343417,0.368727,0.320443,0.328789,"32,468","12,671,083"
2018-04-27,0.355845,0.375068,0.331466,0.344933,"34,813","13,293,251"
2018-04-26,0.340565,0.364571,0.3207,0.354706,"34,075","13,669,889"
2018-04-25,0.37376,0.381958,0.327523,0.331348,"35,664","12,769,704"
2018-04-24,0.329318,0.376432,0.326202,0.376432,"51,146","14,507,180"
2018-04-23,0.370904,0.380858,0.325214,0.336935,"68,981","12,985,019"
2018-04-22,0.37807,0.417344,0.347971,0.371686,"56,783","14,324,276"
2018-04-21,0.39696,0.398868,0.367263,0.378154,"26,105","14,573,544"
2018-04-20,0.405072,0.425598,0.390377,0.396837,"48,784","15,293,561"
2018-04-19,0.39703,0.442661,0.391234,0.404842,"27,220","15,602,063"
2018-04-18,0.364249,0.404066,0.359588,0.396736,"28,697","15,289,669"
2018-04-17,0.349681,0.404213,0.346321,0.363912,"44,946","14,024,676"
2018-04-16,0.334192,0.387427,0.31848,0.349519,"53,231","13,469,989"
2018-04-15,0.305094,0.34707,0.305081,0.334305,"20,258","12,883,662"
2018-04-14,0.31547,0.321552,0.303832,0.304769,"22,563","11,745,385"
2018-04-13,0.320165,0.342716,0.303251,0.315471,"20,990","12,157,826"
2018-04-12,0.294046,0.34026,0.274081,0.319638,"50,103","12,318,416"
2018-04-11,0.300893,0.314736,0.265797,0.290712,"39,000","11,203,647"
2018-04-10,0.320824,0.326962,0.281264,0.300604,"22,451","11,584,871"
2018-04-09,0.295887,0.331592,0.293557,0.320553,"19,981","12,353,679"
2018-04-08,0.287482,0.309569,0.268651,0.295407,"41,549","11,384,586"
2018-04-07,0.256755,0.290919,0.256755,0.287211,"28,077","11,068,723"
2018-04-06,0.248913,0.269241,0.243515,0.247966,"25,760","9,556,274"
2018-04-05,0.251248,0.265398,0.243277,0.250164,"13,745","9,640,982"
2018-04-04,0.282785,0.296773,0.250188,0.251035,"20,049","9,674,549"
2018-04-03,0.260845,0.289154,0.254433,0.282979,"11,628","10,905,628"
2018-04-02,0.248263,0.277841,0.24561,0.260659,"15,251","10,045,445"
2018-04-01,0.278933,0.282234,0.234299,0.247056,"12,330","9,521,204"
2018-03-31,0.272476,0.286095,0.265387,0.278923,"17,965","10,749,315"
2018-03-30,0.265672,0.274619,0.238502,0.272466,"24,060","10,500,471"
2018-03-29,0.294367,0.298568,0.255099,0.266349,"23,342","10,264,730"
2018-03-28,0.280725,0.303109,0.269023,0.293982,"28,984","11,329,669"
2018-03-27,0.300444,0.314948,0.280399,0.280777,"21,791","10,820,766"
2018-03-26,0.307692,0.31481,0.289313,0.300888,"12,479","11,595,816"
2018-03-25,0.307222,0.335157,0.304165,0.307935,"6,584","11,867,398"
2018-03-24,0.323034,0.32976,0.307672,0.311486,"8,782","12,004,249"
2018-03-23,0.324087,0.324211,0.299164,0.318594,"18,682","12,278,182"
2018-03-22,0.331662,0.365396,0.318068,0.324104,"56,090","12,490,530"
2018-03-21,0.342309,0.371967,0.325104,0.332137,"33,524","12,800,111"
2018-03-20,0.322098,0.349468,0.278621,0.341555,"28,703","13,163,068"
2018-03-19,0.309696,0.326365,0.286852,0.318581,"29,539","12,277,681"
2018-03-18,0.267822,0.311788,0.225969,0.311001,"49,738","11,985,558"
2018-03-17,0.308616,0.308616,0.259864,0.268461,"36,502","10,346,124"
2018-03-16,0.307754,0.328251,0.284534,0.30811,"19,092","11,874,143"
2018-03-15,0.310457,0.319996,0.288692,0.307928,"38,215","11,867,129"
2018-03-14,0.366302,0.374507,0.301307,0.311006,"19,929","11,985,750"
2018-03-13,0.333875,0.393756,0.331987,0.365087,"49,498","14,069,959"
2018-03-12,0.349436,0.380424,0.323598,0.335796,"43,417","12,941,124"
2018-03-11,0.325774,0.356886,0.302148,0.350531,"12,243","13,508,991"
2018-03-10,0.33693,0.354225,0.319521,0.326901,"32,492","12,598,322"
2018-03-09,0.339683,0.348331,0.307325,0.336787,"39,751","12,979,315"
2018-03-08,0.38182,0.391401,0.332154,0.341694,"16,542","13,168,424"
2018-03-07,0.413164,0.420851,0.361208,0.382362,"21,814","14,735,714"
2018-03-06,0.464399,0.464399,0.402168,0.413691,"42,428","15,943,091"
2018-03-05,0.46243,0.468493,0.445794,0.465687,"15,479","17,946,947"
2018-03-04,0.502616,0.508433,0.433545,0.462759,"34,871","17,834,106"
2018-03-03,0.48861,0.50915,0.475368,0.503409,"24,394","19,400,702"
2018-03-02,0.491659,0.513551,0.477432,0.489117,"17,191","18,849,907"
2018-03-01,0.462478,0.515263,0.412249,0.504458,"90,691","19,441,129"
2018-02-28,0.456619,0.480716,0.427721,0.461818,"25,607","17,797,841"
2018-02-27,0.44083,0.50104,0.432185,0.457146,"29,616","17,617,788"
2018-02-26,0.390505,0.448443,0.386459,0.43956,"24,243","16,940,048"
2018-02-25,0.374932,0.402487,0.3659,0.390017,"27,019","15,030,728"
2018-02-24,0.387802,0.417725,0.364203,0.375508,"46,437","14,471,570"
2018-02-23,0.36443,0.407612,0.355985,0.395471,"18,901","15,240,917"
2018-02-22,0.422113,0.424143,0.358736,0.364774,"10,383","14,057,896"
2018-02-21,0.437412,0.476793,0.394687,0.422551,"22,363","16,284,544"
2018-02-20,0.494375,0.518357,0.433648,0.437957,"44,012","16,878,270"
2018-02-19,0.478153,0.495124,0.459849,0.493937,"23,209","19,035,664"
2018-02-18,0.537178,0.545296,0.447464,0.480428,"39,085","18,515,045"
2018-02-17,0.53357,0.573371,0.467439,0.535675,"59,244","20,644,190"
2018-02-16,0.542065,0.558002,0.495469,0.533637,"31,268","20,565,648"
2018-02-15,0.462989,0.556367,0.445636,0.544249,"77,672","20,974,621"
2018-02-14,0.356929,0.464495,0.356929,0.462757,"48,552","17,834,029"
2018-02-13,0.384187,0.384187,0.339637,0.364991,"23,070","14,066,260"
2018-02-12,0.327875,0.392314,0.326995,0.383494,"59,683","14,779,340"
2018-02-11,0.38783,0.38783,0.325813,0.325813,"31,929","12,556,393"
2018-02-10,0.439387,0.466802,0.36817,0.388178,"49,550","14,959,855"
2018-02-09,0.425045,0.447473,0.363836,0.439085,"28,065","16,921,742"
2018-02-08,0.373342,0.446743,0.373342,0.423774,"26,266","16,331,677"
2018-02-07,0.379845,0.414988,0.345806,0.37483,"16,039","14,445,441"
2018-02-06,0.356918,0.39137,0.26977,0.383263,"52,107","14,770,438"
2018-02-05,0.442927,0.459026,0.338645,0.356372,"26,065","13,734,095"
2018-02-04,0.450456,0.523115,0.437457,0.447264,"18,933","17,236,950"
2018-02-03,0.409831,0.492975,0.395131,0.450229,"55,864","17,351,217"
2018-02-02,0.452966,0.46902,0.362125,0.408362,"53,946","15,737,719"
2018-02-01,0.517586,0.632552,0.440943,0.453959,"92,749","17,494,966"
2018-01-31,0.548778,0.553688,0.502046,0.516396,"78,196","19,901,204"
2018-01-30,0.754102,0.757658,0.503742,0.536121,"126,981","20,661,379"
2018-01-29,0.743841,0.789715,0.70123,0.753459,"83,594","29,037,291"
2018-01-28,0.781596,0.8705,0.72338,0.737492,"85,638","28,421,945"
2018-01-27,0.687944,0.777608,0.614557,0.777547,"76,925","29,965,610"
2018-01-26,0.767917,0.809419,0.562923,0.6883,"212,850","26,526,151"
2018-01-25,0.817621,0.858388,0.749236,0.769991,"97,178","29,674,412"
2018-01-24,0.785485,0.855837,0.770775,0.804906,"71,071","31,019,989"
2018-01-23,0.817281,0.835972,0.713408,0.785848,"100,439","30,285,520"
2018-01-22,0.866035,0.90083,0.746474,0.819404,"97,251","31,578,722"
2018-01-21,0.993642,0.993642,0.842554,0.854615,"98,464","32,935,707"
2018-01-20,0.891131,1.03,0.84374,0.991315,"75,916","38,203,940"
2018-01-19,0.852169,0.927913,0.825363,0.881807,"92,491","33,983,650"
2018-01-18,0.762462,0.946957,0.724302,0.861126,"253,868","33,186,632"
2018-01-17,0.724465,0.779662,0.548955,0.759307,"234,859","29,262,665"
2018-01-16,1.02,1.02,0.640406,0.751867,"194,134","28,975,938"
2018-01-15,0.987424,1.12,0.936666,1.01,"190,559","39,111,332"
2018-01-14,1.13,1.15,0.991798,0.992658,"239,512","38,255,697"
2018-01-13,1.07,1.18,1.05,1.13,"276,969","43,660,820"
2018-01-12,1.1,1.15,1.03,1.07,"354,418","41,338,866"
2018-01-11,1.24,1.27,0.965567,1.07,"245,287","41,400,143"
2018-01-10,1.17,1.27,1.08,1.27,"536,502","48,867,777"
2018-01-09,1.05,1.23,1.05,1.16,"287,040","44,871,704"
2018-01-08,1.2,1.2,0.978695,1.06,"304,333","40,735,351"
2018-01-07,1.19,1.29,1.04,1.2,"479,148","46,338,485"
2018-01-06,1.01,1.19,0.921233,1.19,"497,726","45,781,216"
2018-01-05,1.19,1.19,0.988863,1.01,"479,090","39,055,837"
2018-01-04,1.23,1.53,1.02,1.19,"532,720","45,892,978"
2018-01-03,1.2,1.29,1.15,1.21,"704,526","46,698,051"
2018-01-02,0.839373,1.17,0.818135,1.17,"773,573","45,169,222"
2018-01-01,0.775867,0.844112,0.751248,0.82904,"237,984","31,950,081"
2017-12-31,0.806567,0.895229,0.679365,0.773236,"425,617","29,799,470"
2017-12-30,0.73715,0.817938,0.597047,0.805233,"356,264","31,032,591"
2017-12-29,0.557397,0.759853,0.552893,0.740068,"461,837","28,521,220"
2017-12-28,0.607179,0.609096,0.526412,0.556211,"148,460","21,435,620"
2017-12-27,0.593355,0.623714,0.564058,0.608407,"164,944","23,447,183"
